CdCommune;LbCommune;StCommune;DateCreationCommune;DateMajCommune;CdComiteBassin;NumCircAdminBassin;CdEuDistrict;CdBassinDCE
Numéro de la commune;Nom de la Commune;StCommune;DateCreationCommune;DateMajCommune;Code du comité de bassin;Numéro de la circonscription de bassin;Code européen du district hydrographique;Code du bassin DCE
"60088";"BORNEL";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60089";"BOUBIERS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60090";"BOUCONVILLERS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60091";"BOUILLANCY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60092";"BOULLARRE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60093";"BOULOGNE-LA-GRASSE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60094";"BOURSONNE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60095";"BOURY-EN-VEXIN";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60096";"BOUTAVENT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60097";"BOUTENCOURT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60098";"BOUVRESSE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60099";"BRAISNES-SUR-ARONDE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60100";"BRASSEUSE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60101";"BRÉGY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60102";"BRENOUILLE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60103";"BRESLES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60104";"BRETEUIL";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60105";"BRÉTIGNY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60106";"BREUIL-LE-SEC";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60107";"BREUIL-LE-VERT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60108";"BRIOT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60109";"BROMBOS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60110";"BROQUIERS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60111";"BROYES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60112";"BRUNVILLERS-LA-MOTTE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60113";"BUCAMPS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60114";"BUICOURT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60115";"BULLES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60116";"BURY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60117";"BUSSY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60118";"CAISNES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60119";"CAMBRONNE-LÈS-RIBÉCOURT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60120";"CAMBRONNE-LÈS-CLERMONT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60121";"CAMPAGNE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60122";"CAMPEAUX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60123";"CAMPREMY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60124";"CANDOR";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60125";"CANLY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60126";"CANNECTANCOURT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60127";"CANNY-SUR-MATZ";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60128";"CANNY-SUR-THÉRAIN";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60129";"CARLEPONT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60130";"CATENOY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60131";"CATHEUX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60132";"CATIGNY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60133";"CATILLON-FUMECHON";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60134";"CAUFFRY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60135";"CAUVIGNY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60136";"CEMPUIS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60137";"CERNOY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60138";"CHAMANT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60139";"CHAMBLY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60140";"CHAMBORS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60141";"CHANTILLY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60142";"LA CHAPELLE-EN-SERVAL";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60143";"CHAUMONT-EN-VEXIN";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60144";"CHAVENÇON";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60145";"CHELLES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60146";"CHEPOIX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60147";"CHEVINCOURT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60148";"CHÈVREVILLE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60149";"CHEVRIÈRES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60150";"CHIRY-OURSCAMP";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60151";"CHOISY-AU-BAC";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60152";"CHOISY-LA-VICTOIRE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60153";"CHOQUEUSE-LES-BÉNARDS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60154";"CINQUEUX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60155";"CIRES-LÈS-MELLO";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60156";"CLAIROIX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60157";"CLERMONT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60158";"COIVREL";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60159";"COMPIÈGNE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60160";"CONCHY-LES-POTS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60161";"CONTEVILLE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60162";"CORBEIL-CERF";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60163";"CORMEILLES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60164";"LE COUDRAY-SAINT-GERMER";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60165";"LE COUDRAY-SUR-THELLE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60166";"COUDUN";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60167";"COULOISY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60168";"COURCELLES-EPAYELLES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60169";"COURCELLES-LÈS-GISORS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60170";"COURTEUIL";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60171";"COURTIEUX";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60172";"COYE-LA-FORÊT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60173";"CRAMOISY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60174";"CRAPEAUMESNIL";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60175";"CREIL";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60176";"CRÉPY-EN-VALOIS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60177";"CRESSONSACQ";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60178";"CRÈVECŒUR-LE-GRAND";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60179";"CRÈVECŒUR-LE-PETIT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60180";"CRILLON";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60181";"CRISOLLES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60182";"LE CROCQ";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60183";"CROISSY-SUR-CELLE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60184";"CROUTOY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60185";"CROUY-EN-THELLE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60186";"CUIGNIÈRES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60187";"CUIGY-EN-BRAY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60188";"CUISE-LA-MOTTE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60189";"CUTS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60190";"CUVERGNON";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60191";"CUVILLY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60192";"CUY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60193";"DAMÉRAUCOURT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60194";"DARGIES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60195";"DELINCOURT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60196";"LE DÉLUGE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60197";"DIEUDONNÉ";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60198";"DIVES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60199";"DOMÉLIERS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60200";"DOMFRONT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60201";"DOMPIERRE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60203";"DUVY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60204";"ÉCUVILLY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60205";"ÉLENCOURT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000001";"01";"EU33";"A"
"60206";"ÉLINCOURT-SAINTE-MARGUERITE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60207";"ÉMÉVILLE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60208";"ÉNENCOURT-LÉAGE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60209";"ÉNENCOURT-LE-SEC";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60210";"ÉPINEUSE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60211";"ÉRAGNY-SUR-EPTE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60212";"ERCUIS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60213";"ERMENONVILLE";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60214";"ERNEMONT-BOUTAVENT";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60215";"ERQUERY";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60216";"ERQUINVILLERS";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
"60217";"ESCAMES";"Validé";"2002-01-01";"2016-01-01T00:00:00";"FR000003";"03";"EU31";"H"
